"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"1776";"Passage du périphérique de Paris vers Pantin via l'avenue Jean Jaurès extrêmement dangereux, malgré la poste cyclable : les voitures ne voient pas le feu en tournant à droite. J'ai déjà eu un accident.
Piste cyclable à Jaurès, quai de Loire : tous les piétons circulent uniquement sur la piste cyclable et pas sur leur partie du trottoir qui sent l'urine et est en terre battue.
Piste cyclable angle rue saint Lazare et rue de Rome  : très dangereuse entre cyclistes et piétons.
A Saint Augustin, lorsqu'on vient de la rue de la Pépinère et qu'on va vers la rue de la Boëtie : le parcours est très mal fait pour le cycliste.
Les Maréchaux côté Porte de Pantin jusqu'à Porte de Montreuil : beaucoup de zigzag, on a du mal à suivre quand on ne connait pas. Beaucoup de voitures tournant à droite qui ne regarde absolument pas les cyclistes prioritaires.
Métro Poissonnière, lorsqu'on est sur la piste et qu'on descend vers Cadet : les piétons placés au niveau de la sortie de métro empruntent systématiquement la piste cyclable en très forte pente donc très difficile de ralentir.
Lorsqu'on est sur la rue Lafayette et qu'on continue tout droit au croisement avec le boulevard Magenta : espèce de cafouillage général.
Angle Rue Saint Lazare et rue d'Amsterdam le matin : très très nombreux piétons qui traversent sans respecter le feu.
Essentiellement le matin et le soir, rue Saint Lazare entre la rue d'Amsterdam et la rue de Rome : gros problème avec les scooters qui viennent d'en face et pour aller plus vite, empruntent la voix à contresens. Lorsque le cycliste est à côté d'une voiture, c'est très dangereux car nombreux frôlement.";"De manière très générale, il y a de très nombreux problèmes dissuasifs :
- non respect du code de la route par de très très nombreux véhicules motorisés et en particulier les scooters
- Problème d’aménagements des pistes cyclables. Souvent dangereux avec les piétons quand la piste n'est pas correctement marquée avec un petit terre plein qui fait penser au piéton à regarder où il va.
- Gros manque de pistes cyclables en continu
- Très très gros problèmes avec les véhicules motorisés qui tournent à droite, ne mettent souvent pas leur clignotant et ne regardent pas leur angle mort. Très dangereux. Idem lorsque nous sommes à un carrefour en face à face : ils laissent passer les voitures, mais forcent le passage quand c'est un vélo, alors qu'ils n'ont pas la priorité.
- Autre gros problème que votre enquête ne mentionne pas : celui rencontré par les femmes en vélo dont je suis. Beaucoup plus d'incivilités à leur égard, les voitures notamment osent faire plus d'écarts dangereux.
- Gros problème avec les véhicules garés sur les pistes cyclables : cela peut être des livreurs, des voitures de la mairie de paris (notamment jardiniers), la police. D'ailleurs la police très souvent lorsqu'elle patrouille, passe devant des véhicules stationnant sur une piste mais ne leur dit rien. Si l'on veut faire évoluer les mentalités, cela passe également par une formation du personnel de l'Etat et de la ville.
"
"1777";"Place de la Concorde";"N'est pas assez utilisé par les Parisiens"
"1778";"rue lafayette en montée";"Avoir moins de véhicules motorisés en ville faciliterait l'usage du vélo, mais pour cela, il faut grandement améliorer les liaisons banlieue-paris et banlieue-banlieue en transports en commun. Autre gros chantier : les liaisons paris-banlieue en vélo : vers les communes du nord et de l'est de Paris, c'est catastrophique !!"
"1779";"Chaque changement d'arrondissement est un problème, les voies vélo changent de coté à chaque fois (12eme/5eme; 10eme/11eme en particulier sur le boulevard richard lenoir) . La traversée des ponts est assez difficile sur les itinéraires très fréquentés : pont d'austerlitz, pont charles de gaulle, pont de sully (vers bastille) pont au change et saint michel: ils déboulent sur des places dont la circulation à vélo est assez dangereuse, la présence des taxis et des VTC très souvent agressifs avec les vélos n'arrange rien. La piste cyclable le long de l'A4 est mal indiquée, immonde, pleine de détritus et mal entretenue.";"J'ai trouvé l'arrivée du vélib comme une bonne chose cependant beaucoup roulent à plusieurs de front ou sont dangereux. Cela a fait monter un sentiment de rejet parmis les Taxis qui sont parfois dangereux, je pense qu'il faudrait essayer de proposer à ces deux catégories d'apprendre à partager la route. 
Je trouve que la possibilité de remonter des rues à contre sens et de griller les feux à permis à de nombreux cyclistes de justifier leurs comportements dangereux et le non respect de règles élémentaires, j'en croise souvent qui râlent contre les piétons qui sont pourtant dans leur droit de traverser au feu vert pour les piétons...
Pareillement un point dangereux est la présence de voies cyclable sur les trottoirs, la plupart des piétons ne les voient tout simplement pas, j'en emprunte régulièrement et j'avoue que les personnes âgées équipées de caddies me font souvent peur :D
Je sais que ce n'est qu'une utopie, mais j'aimerai un plus grand respect des uns envers les autres de l'ensemble des usagers, éviter de traverser n'importe où, éviter de forcer le passage ou de se garer là ou ça gène les autres, éviter de rouler sur les trottoirs... mais ce n'est qu'une utopie pour le moment ^^"
"1780";"Pas d'axe nord-sud";"Le réseau des pistes cyclables est très mauvais (c'est du bricolage !). Les solutions existes : il suffit de prendre exemple sur Copenhague. Il ne faut pas réinventer en beaucoup moins bien ce qui existe et qui marche bien ailleurs!"
"1781";"Grands carrefours: Concorde, Bastille, Etoile...";"Beaucoup de communication de la ville, pas d'attention aux besoins. Etat de la chaussée souvent déplorable."
"1782";"Les grands axes du centre ville (Rivoli, Concorde, Trocadero, Place de l'etoile...)";"Avant même de construire de nouvelles pistes cyclables, il serait judicieux de nettoyer et entretenir celles déjà existantes, tout en assurant leur balisage par des panneaux visibles"
"1783";"Les abords des lieux festifs, dans le 12e en particulier(beaucoup de débris de verre au sol)";NA
"1784";"Sortie de Paris en direction de saint Denis
Les places
La discontinuité des aménagements";NA
"1785";"les ronds points de façon générale et les grands axes";"beaucoup de pollution"
"1786";"Barbès-Jaurès";"/"
"1787";"Hyper centre";"Paris a énormément de potentiel pour devenir la plus belle capitale praticable à vélo. Sensibiliser et éduquer est un début, réduire la circulation des véhicules jusqu’à l’interdire progressivement dans certaines zones. Une voiture 5 places pour un seul individu est une aberration. La pollution est un problème de santé publique, rendons nos villes agréables pour tous. N’essayons pas d’agir dans la précipitation et trouvons des solutions qui conviennent à chacun."
"1788";NA;"De vrais progrès en terme de mise à disposition de vélos et de pistes cyclables, des comportements d'automobilistes qui s'améliorent mais le respect des pistes cyclables pose encore problème (piste cyclable=parking) et de vrais problèmes de sécurité à certains endroits. Il faut éduquer les parisiens à adopter le vélo ! Et les vélos à respecter certaines règles aussi (respect du feu rouge)"
"1789";"L'avenue des Ternes -le Bd Pereire";"Le vélo est en plein boum à Paris! Il faut continuer à la rendre cyclable en sécurité !"
"1790";"Place de la Concorde";"En cas de travaux ou de déviation, penser à un itinéraire bis pour les vélos"
"1791";"Les grands carrefour entre boulevards";NA
"1792";"Trocadéro";NA
"1793";"Les grands Boulevards";"Fureur constante des 2RM et des taxis/Vtc. Irrespect généralisé à Paris"
"1794";"Les portes de Paris";"Il faudrait inciter les copropriétés à installer des parkings à vélos pour invités"
"1795";"Les rues en sens unique avec un contre-sens pour les cyclistes. L'espace dédié au vélo est trop réduit et ne facilite pas une conduite fluide.";"il faut une communication sur le vivre ensemble entre piétons et cyclistes"
"1796";"Les endroits les plus problématiques sont les endroit où il n'y a pas de piste cyclable séparée de la route car les automobilistes et les deux roues mordent sur la partie réservée aux vélos. Les automobilistes ne font pas attention aux cyclistes, tous les jours je manque de peu de me faire renverser. Les scooters eux aussi empruntent les pistes cyclables et ne respectent pas la priorité aux cyclistes. Je passe tous les jours de Stalingrad à cadet en passant par la rue Lafayette et chaud jour est un cauchemar très stressant et dangereux.";NA
"1797";"rue Lafayette
Place Pigalle
Place de la Bastille
Autour du métro Louis Blanc";"la pollution de l'air limite, à mon sens, les déplacements en vélo dans Paris"
"1798";"J'emprunte régulièrement l'avenue de l'Opéra, en direction du Louvre, et la chaussée est particulièrement cabossée, ce qui rend ce parcours peu confortable et parfois dangereux.";NA
"1799";"Les quartiers centraux";"Agressivité et  on respect du droit par les motorisés font tres vite de la pratique du velo une lutte modale qui prends le dessus sur le plaisir ou le cote pratique. La pratique du velo comme moyen de transport privilégié est indissociable d'une lutte de tous les instants pour faire respecter ses droits vis a vis principalement des motorises."
"1800";"Portes, rond-point";"Infrastructures à mettre en place et surtout, très gros travail d'éducation auprès de la population pour faire évoluer les mentalités"
"1801";"les grands boulevards, république, bastille, rue de rivoli en sens unique, les rues pavets au secours !!";"séparer les vélos et les véhicules motorisés. nous prenons les pots d'échappement et sommes parfois en danger"
"1802";"Voies de bus et sas cyclables jamais respectés";"Faire respecter les aménagement cyclables, en particulier les pistes cyclables, voies de bus et sas vélo."
"1803";"Bastille";"Piste cyclable trop sales"
"1804";"Entre Belleville et Menilmontant les voitures et les camions se garent sur les pistes cyclables";"Plus de sanction pour verbaliser les infractions  scooter et vélos qui roulent sur les trottoirs"
"1805";"Les Halles - Belleville - Gare du Nord";"Il faudrait plus de pistes cyclables vraiment protégées (en particulier du stationnement des véhicules professionnels)"
"1806";"Je vais tous les jours de Jean Jaurès (19eme) à Pereire (17eme) à vélo. Les points critiques sont le grand carrefour de Barbès-Rochechouart (la piste cyclable passe du coté droit de la rue avant intersection, au coté gauche après) et le rond point de place de Clichy, qui est une catastrophe... Le problème principal toutefois n'est pas l'aménagement mais la mentalité des automobilistes et scooters qui nous mettent volontairement en danger et ne se rendent apparemment pas compte de notre exposition.";"Je pense que des scènes de violences entre vélos et automobilistes vont être de plus en plus fréquentes... Je m'inclus malheureusement dans ce constat."
"1807";"Les axes les plus fréquentés par les véhicules motorisés";"Apprendre le respect mutuel à tous : piétons, cyclistes et conducteurs motorisés"
"1808";"Boulevard Magenta";NA
"1809";"partage voie de bus très dangereux";NA
"1810";"porte d aubervilliers 
porte de montreuil 
boulevard sébastopol";"coexistence pacifique avec les autres moyens de transport"
"1811";"Pistes cyclables sur les trottoirs partagées avec les piétons";NA
"1812";"La vIlle de Valence (espagne) est un example parfait pour etablir des options viable et sûres pour les cyclistes.

En tant que cyclistes à Paris notre sécurités et besoins sont mis secondaires.

J'encourage aussi à enseigner aux piétons les rudiments de regarder dans les deux sens avant de traverser la rue. 

Bon courge";NA
"1813";"saint lazare";NA
"1814";"République";NA
"1815";"Rond point de la Bastille";NA
"1816";"Etoile, Concorde";"Le problème principal, c'est le nombre de voitures...."
"1817";"Les portes de Paris";"Je pense que plutôt que de monter les cyclistes contre les automobilistes on peut très bien s'accorder. Faire du vélo à Paris est très agreeable, les routes y sont propices, par contre les pistes cyclables sont mal foutues, mal pensées... plutot que de prendre le vélo comme une bataille idéologique on ferait mieux d'élaborer des solutions en prenant en compte les besoins de tous les usagers de la route."
"1818";"Grand carrefour ou rond point du type denfert rochereau, Place d'Italie, etc";"Dangereux, notamment manque de respect des bus mais aussi à cause de certains cyclistes irrespectueux des règles de la route"
"1819";"je ne vois pas d'endroit en particulier. Le problème vient du comportement des usagers";"Méconnaissance de la pratique du vélo par les automobilistes principalement, donc des mises en danger fréquentes. Manque flagrant de respect.
Les usagers occasionnels du vélo ont souvent des comportements irresponsables, qui ne favorisent pas la cohabitation
Pour les infrastructures : pas d'accord avec les pistes cyclables sur les trottoirs très dangereuses pour les vélos et les piétons"
